13.04.08;36,46;01:10:36;37.41;57.26;29,68;51,43;Wolkig;3;14;k. A.;West;10,5;Wildenrath,Myhl,Gerderath,Gerderhan,Schwanenberg,Kehrbusch, Rath-Anhoven,Schoenhausen,Beeck,Ellinghoven,Broich,Busch,Wegberg,Klinkum,Arsbeck
16.04.08;36,41;01:09:48;38.37;57.12;29,29;51,68;Wolkig ;2;11;19;Nord;9,4;Wildenrath,Myhl,Gerderath,Gerderhan,Schwanenberg,Kehrbusch, Rath-Anhoven,Schoenhausen,Wegberg,Klinkum,Arsbeck
17.04.08;41,11;01:17:43;38.36;55.55;30,45;40,06;Leicht bew. ;3;15;31;Nord- Ost;12,4;Klinkum, Wegberg, Beeck, Busch, Broich, Beeck, Moorshoven, Rath-Anhoven, Kehrbusch, Schwannenberg, Gerderhahn, Gerderrath, Flughafen, Petersholz, Arsbeck
20.04.08;40,74;01:16:26;39.08;56.26;30,84;38,39;Leicht bew.;3;15;31;Ost;16,3;Klinkum, Wegberg, Beeck, Busch, Broich, Beeck, Moorshoven, Rath-Anhoven, Kehrbusch, Schwannenberg, Gerderhahn, Gerderrath, Flughafen, Petersholz, Arsbeck
23.04.08;40,39;01:14:04;38.20;55.55;31,57;41,88;Leicht bew.;3;19;31;Sued- Ost;18,6;Klinkum, Wegberg, Beeck, Busch, Broich, Beeck, Moorshoven, Rath-Anhoven, Kehrbusch, Schwanenberg, Gerderhahn, Gerderrath, Flughafen, Petersholz, Arsbeck
24.04.08;39.85;01:13:23;35.46;53.50;31,11;51,68;Wolkig;3;15/13;0/22;Sued- West;16,7;Wildenrath,Myhl,Gerderath,Gerderhan,Schwanenberg,Kehrbusch, Rath-Anhoven,Schoenhausen,Beeck,Ellinghoven,Broich,Busch,Wegberg,Klinkum,Arsbeck
26.04.08;40,95;01:15:37;36.41;55.03;31,65;51,19;Leicht bew.;1;4;k. A.;Sued- Ost;19,8;Wildenrath,Myhl,Gerderath,Gerderhan,Schwanenberg,Kehrbusch, Rath-Anhoven,Schoenhausen,Beeck,Ellinghoven,Broich,Busch,Wegberg,Klinkum,Arsbeck
29.04.08;40,65;01:16:12;38.04;56.58;30,12;40,41;Maessiger Regen;3;19;30;Sued;14,7;Klinkum, Wegberg, Beeck, Busch, Broich, Beeck, Moorshoven, Rath-Anhoven, Kehrbusch, Schwannenberg, Gerderhahn, Gerderrath, Flughafen, Petersholz, Arsbeck
30.04.08;44,31;01:24:04;37.53;58.16;30,92;43,05;Wokig;5;30;46;Sued;14,6;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
01.05.08;50,14;01:33:15;36.13;54.43;31,43;54,84;Leichter Regen;4;22;37;Sued- West;13,8;Wildenrath,Myhl,Gerderath,Gerderhan,Schwanenberg,Kehrbusch, Rath-Anhoven, Erkelenz, Rath- Anhoven, Schoenhausen, Beeck, Ellinghoven, Broich, Busch,Wegberg,Klinkum,Arsbeck
03.05.08;55,22;01:40:52;37.20;56.27;32,01;43,05;Leicht bew.;2;7;17;Sued- Ost;19,5;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz,Rath,Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
05.05.08;58,05;01:43:58;37.19;55.23;31,91;45,16;Sonnig;3;14;k. A.;Ost;21,6;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz,Rath,Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
